date;vwretx;vwretd
2002-01-31;-0.016921;-0.015966
2002-02-28;-0.023066;-0.0217
2002-03-28;0.04373;0.044698
2002-04-30;-0.050504;-0.0496
2002-05-31;-0.011958;-0.01051
2002-06-28;-0.071515;-0.070259
2002-07-31;-0.08231;-0.081125
2002-08-30;0.006405;0.007949
2002-09-30;-0.101387;-0.099923
2002-10-31;0.073522;0.07494
2002-11-29;0.059612;0.061282
2002-12-31;-0.054977;-0.053334
2003-01-31;-0.024576;-0.023367
2003-02-28;-0.017243;-0.015417
2003-03-31;0.008901;0.010321
2003-04-30;0.08118;0.082768
2003-05-30;0.061778;0.063471
2003-06-30;0.014797;0.016346
2003-07-31;0.021764;0.023112
2003-08-29;0.023486;0.024965
2003-09-30;-0.010607;-0.00912
2003-10-31;0.058882;0.060361
2003-11-28;0.015052;0.016594
2003-12-31;0.04382;0.045476
2004-01-30;0.022019;0.023042
2004-02-27;0.013958;0.015443
2004-03-31;-0.011985;-0.010662
2004-04-30;-0.025568;-0.024222
2004-05-28;0.012384;0.014068
2004-06-30;0.020049;0.021611
2004-07-30;-0.038792;-0.037698
2004-08-31;0.001058;0.002703
2004-09-30;0.019099;0.020556
2004-10-29;0.016579;0.017806
2004-11-30;0.04432;0.048214
2004-12-31;0.033414;0.03517
2005-01-31;-0.0274;-0.026546
2005-02-28;0.02081;0.022646
2005-03-31;-0.018578;-0.016944
2005-04-29;-0.02659;-0.025206
2005-05-31;0.036151;0.037954
2005-06-30;0.009905;0.011529
2005-07-29;0.042251;0.043358
2005-08-31;-0.007776;-0.005958
2005-09-30;0.009332;0.0106
2005-10-31;-0.021974;-0.020866
2005-11-30;0.038073;0.040326
2005-12-30;0.001884;0.003458
2006-01-31;0.038966;0.040072
2006-02-28;-0.003552;-0.001639
2006-03-31;0.017598;0.019065
2006-04-28;0.01153;0.013
2006-05-31;-0.033011;-0.031032
2006-06-30;-0.001887;-0.000391
2006-07-31;-0.002955;-0.001912
2006-08-31;0.022968;0.025042
2006-09-29;0.01811;0.019425
2006-10-31;0.036107;0.037153
2006-11-30;0.021374;0.023737
2006-12-29;0.009154;0.010857
2007-01-31;0.018452;0.019387
2007-02-28;-0.015996;-0.014006
2007-03-30;0.011479;0.012954
2007-04-30;0.03847;0.039834
2007-05-31;0.036666;0.038953
2007-06-29;-0.01611;-0.014747
2007-07-31;-0.032792;-0.03179
2007-08-31;0.009641;0.011593
2007-09-28;0.039306;0.040822
2007-10-31;0.02477;0.02591
2007-11-30;-0.051309;-0.049362
2007-12-31;-0.006493;-0.004405
2008-01-31;-0.063321;-0.062218
2008-02-29;-0.023636;-0.021697
2008-03-31;-0.012186;-0.010444
2008-04-30;0.049876;0.051199
2008-05-30;0.021621;0.023935
2008-06-30;-0.080249;-0.078436
2008-07-31;-0.014759;-0.013413
2008-08-29;0.008608;0.010597
2008-09-30;-0.099959;-0.098172
2008-10-31;-0.186319;-0.184833
2008-11-28;-0.08742;-0.084681
2008-12-31;0.019166;0.022232
2009-01-30;-0.078863;-0.077471
2009-02-27;-0.103353;-0.100166
2009-03-31;0.083548;0.086803
2009-04-30;0.107632;0.109466
2009-05-29;0.065137;0.067787
2009-06-30;-0.004962;-0.003019
2009-07-31;0.08036;0.081779
2009-08-31;0.029351;0.03151
2009-09-30;0.043643;0.045281
2009-10-30;-0.029326;-0.028072
2009-11-30;0.054619;0.057075
2009-12-31;0.026449;0.028475
2010-01-29;-0.038184;-0.037172
2010-02-26;0.032657;0.034744
2010-03-31;0.061985;0.063668
2010-04-30;0.018924;0.020036
2010-05-28;-0.081328;-0.07924
2010-06-30;-0.05252;-0.05078
2010-07-30;0.068664;0.07036
2010-08-31;-0.044989;-0.042863
2010-09-30;0.089747;0.091628
2010-10-29;0.037071;0.038591
2010-11-30;0.002917;0.005117
2010-12-31;0.06485;0.067182
2011-01-31;0.018231;0.019183
2011-02-28;0.036223;0.038156
2011-03-31;0.001758;0.003341
2011-04-29;0.027483;0.028597
2011-05-31;-0.016956;-0.014948
2011-06-30;-0.020211;-0.018447
2011-07-29;-0.023674;-0.022534
2011-08-31;-0.059704;-0.057564
2011-09-30;-0.086673;-0.084983
2011-10-31;0.112735;0.114146
2011-11-30;-0.008937;-0.00627
2011-12-30;0.001428;0.003676
2012-01-31;0.05296;0.054106
2012-02-29;0.038953;0.041225
2012-03-30;0.022138;0.02402
2012-04-30;-0.008046;-0.006829
2012-05-31;-0.068005;-0.06559
2012-06-29;0.036049;0.038151
2012-07-31;0.009055;0.010307
2012-08-31;0.023718;0.026317
2012-09-28;0.024564;0.026513
2012-10-31;-0.015502;-0.014055
2012-11-30;0.002977;0.006217
2012-12-31;0.009019;0.012569
2013-01-31;0.052937;0.054142
2013-02-28;0.006079;0.008282
2013-03-28;0.033527;0.035295
2013-04-30;0.013764;0.014939
2013-05-31;0.016568;0.019128
2013-06-28;-0.017089;-0.015072
2013-07-31;0.051223;0.052658
2013-08-30;-0.027927;-0.02575
2013-09-30;0.035699;0.037497
2013-10-31;0.038603;0.039889
2013-11-29;0.022831;0.024956
2013-12-31;0.024082;0.02614
2014-01-31;-0.031124;-0.03002
2014-02-28;0.043963;0.046198
2014-03-31;0.002819;0.00454
2014-04-30;0.00041;0.001573
2014-05-30;0.018045;0.020254
2014-06-30;0.025986;0.027973
2014-07-31;-0.021849;-0.020555
2014-08-29;0.038202;0.040205
2014-09-30;-0.026893;-0.025196
2014-10-31;0.019916;0.021164
2014-11-28;0.018938;0.021104
2014-12-31;-0.0058;-0.003659
2015-01-30;-0.028233;-0.027163
2015-02-27;0.053599;0.055915
2015-03-31;-0.012212;-0.010397
2015-04-30;0.007618;0.008766
2015-05-29;0.008115;0.010277
2015-06-30;-0.021171;-0.019231
2015-07-31;0.010895;0.012108
2015-08-31;-0.061993;-0.059926
2015-09-30;-0.035693;-0.033756
2015-10-30;0.072542;0.073937
2015-11-30;0.000136;0.002404
2015-12-31;-0.024447;-0.022209
2016-01-29;-0.058253;-0.057085
2016-02-29;-0.001802;0.00062
2016-03-31;0.068122;0.070491
2016-04-29;0.010483;0.011718
2016-05-31;0.011925;0.01434
2016-06-30;0.000875;0.002947
2016-07-29;0.037567;0.038815
2016-08-31;0.000463;0.0028
2016-09-30;0.001235;0.003013
2016-10-31;-0.022789;-0.021544
2016-11-30;0.03804;0.040488
2016-12-30;0.016625;0.018763
2017-01-31;0.02113;0.022153
2017-02-28;0.030496;0.032598
2017-03-31;0.000191;0.002062
2017-04-28;0.008535;0.009655
2017-05-31;0.006983;0.009335
2017-06-30;0.00769;0.009571
2017-07-31;0.018893;0.020277
2017-08-31;-0.000638;0.0016
2017-09-29;0.022122;0.023729
2017-10-31;0.01819;0.019275
2017-11-30;0.024905;0.027232
2017-12-29;0.010264;0.012122
2018-01-31;0.049625;0.050577
2018-02-28;-0.041323;-0.039455
2018-03-29;-0.020288;-0.018421
2018-04-30;0.00357;0.004679
2018-05-31;0.02385;0.026146
2018-06-29;0.003576;0.005359
2018-07-31;0.030436;0.031573
2018-08-31;0.027765;0.030233
2018-09-28;-0.001212;0.000425
2018-10-31;-0.075113;-0.074045
2018-11-30;0.016171;0.018512
2018-12-31;-0.092124;-0.08989
2019-01-31;0.087067;0.088294
2019-02-28;0.030666;0.032724
2019-03-29;0.01114;0.012962
2019-04-30;0.0367;0.037893
2019-05-31;-0.063898;-0.061679
2019-06-28;0.065283;0.067279
2019-07-31;0.010702;0.011854
2019-08-30;-0.022372;-0.020339
2019-09-30;0.014169;0.016033
2019-10-31;0.018087;0.019257
2019-11-29;0.032986;0.034999
2019-12-31;0.026242;0.028489
2020-01-31;-0.002849;-0.001728
2020-02-28;-0.079868;-0.077918
2020-03-31;-0.143685;-0.141733
2020-04-30;0.128408;0.129674
2020-05-29;0.051688;0.053739
2020-06-30;0.023522;0.025299
2020-07-31;0.054411;0.055532
2020-08-31;0.066798;0.068442
2020-09-30;-0.036515;-0.035056
2020-10-30;-0.021218;-0.020178
2020-11-30;0.122019;0.123707
2020-12-31;0.043244;0.045048
2021-01-29;-0.001611;-0.000631
2021-02-26;0.027888;0.029196
2021-03-31;0.029086;0.030573
2021-04-30;0.047301;0.04819
2021-05-28;0.005786;0.007092
2021-06-30;0.022021;0.023422
2021-07-30;0.010952;0.011828
2021-08-31;0.025841;0.027146
2021-09-30;-0.043531;-0.042243
2021-10-29;0.06376;0.064651
2021-11-30;-0.019707;-0.018351
2021-12-31;0.031573;0.033341
2022-01-31;-0.060568;-0.059823
2022-02-28;-0.023121;-0.021838
2022-03-31;0.02894;0.030506
2022-04-29;-0.090295;-0.089387
2022-05-31;-0.00374;-0.002113
2022-06-30;-0.085822;-0.083998
2022-07-29;0.089287;0.090351
2022-08-31;-0.037918;-0.036233
2022-09-30;-0.09303;-0.091323
2022-10-31;0.076265;0.077394
2022-11-30;0.050479;0.052354
2022-12-30;-0.059152;-0.05712
2023-01-31;0.070884;0.071823
2023-02-28;-0.026252;-0.024666
2023-03-31;0.022043;0.02395
2023-04-28;0.007865;0.008976
2023-05-31;-0.001057;0.000708
2023-06-30;0.064342;0.066183
2023-07-31;0.034672;0.035618
2023-08-31;-0.022266;-0.020608
2023-09-29;-0.04886;-0.047391
2023-10-31;-0.029857;-0.028865
2023-11-30;0.090037;0.092053
2023-12-29;0.051476;0.053604
2024-01-31;0.006743;0.007561
2024-02-29;0.049052;0.050584
2024-03-28;0.030938;0.03245
2024-04-30;-0.043636;-0.042724
2024-05-31;0.044979;0.046553
2024-06-28;0.02438;0.026073
2024-07-31;0.019;0.019878
2024-08-30;0.020203;0.021572
2024-09-30;0.019485;0.020969
2024-10-31;-0.009139;-0.008298
2024-11-29;0.063463;0.064855
2024-12-31;-0.03347;-0.031582
